"","uniqueID","blur","sigma","image_id"
"332","cabinet",4,7.67264943089024,145
"333","cabinet",5,9.44206208071132,145
"334","cabinet",6,11.6195242776344,145
"335","cabinet",7,14.2991375490261,145
"336","cabinet",8,17.596704457129,145
"337","peanut",1,5.3025,146
"338","peanut",2,6.22628453081002,146
"339","peanut",3,7.31100783754912,146
"340","peanut",4,8.58470815720187,146
"341","peanut",5,10.0803084584073,146
"342","peanut",6,11.8364674437293,146
"343","peanut",7,13.8985788108116,146
"344","peanut",8,16.319944601603,146
"345","magnet",1,4,147
"346","magnet",2,6.17066911474384,147
"347","magnet",3,9.51928933091337,147
"348","magnet",4,14.6850961671444,147
"349","magnet",5,22.6542173414103,147
"350","magnet",6,34.9479198168336,147
"351","magnet",7,53.9130123595698,147
"352","magnet",8,83.1698400625,147
"353","okra",1,4,148
"354","okra",2,4.8760546168179,148
"355","okra",3,5.94397715654779,148
"356","okra",4,7.24578931411125,148
"357","okra",5,8.8327161093905,148
"358","okra",6,10.7672015410588,148
"359","okra",7,13.1253656961222,148
"360","okra",8,16,148
"361","robe",1,4,149
"362","robe",2,4.8760546168179,149
"363","robe",3,5.94397715654779,149
"364","robe",4,7.24578931411125,149
"365","robe",5,8.8327161093905,149
"366","robe",6,10.7672015410588,149
"367","robe",7,13.1253656961222,149
"368","robe",8,16,149
"369","rug",1,4,150
"370","rug",2,4.8760546168179,150
"371","rug",3,5.94397715654779,150
"372","rug",4,7.24578931411125,150
"373","rug",5,8.8327161093905,150
"374","rug",6,10.7672015410588,150
"375","rug",7,13.1253656961222,150
"376","rug",8,16,150
"377","traffic_light",1,7.838,152
"378","traffic_light",2,8.86973889223887,152
"379","traffic_light",3,10.0372885961336,152
"380","traffic_light",4,11.358526286521,152
"381","traffic_light",5,12.8536823631121,152
"382","traffic_light",6,14.5456502123731,152
"383","traffic_light",7,16.46033674427,152
"384","traffic_light",8,18.6270590711916,152
"385","swing",1,6.515,153
"386","swing",2,7.46986839809308,153
"387","swing",3,8.56468670526932,153
"388","swing",4,9.81996662459849,153
"389","swing",5,11.2592261487977,153
"390","swing",6,12.9094301758844,153
